Var1	Var2	value	pval	adjp	pair
hsa-miR-362-5p	USP31	0.291476407645419	4.19021825437405e-06	0.0459269257124718	hsa-miR-362-5p USP31
hsa-miR-758-3p	USP31	-0.289329327967172	4.96438281061273e-06	0.0491353004239369	hsa-miR-758-3p USP31
hsa-miR-1-3p	NEFM	0.292962982756683	3.72311182106344e-06	0.0433950700415135	hsa-miR-1-3p NEFM
hsa-miR-27a-5p	RELB	0.289651236668585	4.84021279412161e-06	0.0485402004773078	hsa-miR-27a-5p RELB
hsa-miR-4301	POP4	0.315924095253207	5.50536347621033e-07	0.0192385368464597	hsa-miR-4301 POP4
hsa-miR-133a-3p	SHD	0.291380121441952	4.22232246144461e-06	0.0460942110276134	hsa-miR-133a-3p SHD
hsa-miR-448	SHD	-0.296536909839791	2.79457156660001e-06	0.038121343323841	hsa-miR-448 SHD
hsa-miR-182-5p	CD33	-0.307645453011763	1.11750973674773e-06	0.026196015417109	hsa-miR-182-5p CD33
hsa-miR-1264	MEIS3	0.332781451430807	1.21737870673044e-07	0.00911268840978674	hsa-miR-1264 MEIS3
hsa-miR-30a-3p	MEIS3	-0.332523431639822	1.24668901424485e-07	0.00911268840978674	hsa-miR-30a-3p MEIS3
hsa-miR-31-5p	MEIS3	-0.318249172396352	4.49518551048911e-07	0.0173015179337374	hsa-miR-31-5p MEIS3
hsa-miR-376a-3p	MEIS3	0.299907127621081	2.12463001503238e-06	0.0342745343154447	hsa-miR-376a-3p MEIS3
hsa-miR-448	MEIS3	0.350670061931918	2.21626239582662e-08	0.00343739443775377	hsa-miR-448 MEIS3
hsa-miR-582-5p	MEIS3	0.296265597384359	2.8564878840065e-06	0.0384095006867769	hsa-miR-582-5p MEIS3
hsa-miR-651-5p	TMEM147	-0.292696325469008	3.80307475311703e-06	0.0439379548859083	hsa-miR-651-5p TMEM147
hsa-miR-1-3p	SCN1B	0.341389262905337	5.43563754007437e-08	0.00587435960331947	hsa-miR-1-3p SCN1B
hsa-miR-133a-3p	SCN1B	0.329397222287572	1.6603339370036e-07	0.0105610353165988	hsa-miR-133a-3p SCN1B
hsa-miR-31-5p	SCN1B	0.324356445799385	2.61777929999596e-07	0.0131146179190664	hsa-miR-31-5p SCN1B
hsa-miR-448	SCN1B	-0.334362374636286	1.05174393194574e-07	0.00856754099813236	hsa-miR-448 SCN1B
hsa-miR-767-5p	SCN1B	-0.302335787254018	1.74009013909071e-06	0.031781026158489	hsa-miR-767-5p SCN1B
hsa-miR-1247-5p	ITGB8	0.300088077761153	2.09338840395645e-06	0.0340767530552063	hsa-miR-1247-5p ITGB8
hsa-miR-495-3p	CRHR2	-0.303169049502619	1.62420277249886e-06	0.0310090163705131	hsa-miR-495-3p CRHR2
hsa-miR-106a-5p	CHCHD2	-0.290372437751315	4.5726655799605e-06	0.0476289435744455	hsa-miR-106a-5p CHCHD2
hsa-miR-619-5p	HSPB1	-0.304932827344572	1.40274094340143e-06	0.0290509908322432	hsa-miR-619-5p HSPB1
hsa-miR-1-3p	ZKSCAN1	-0.300225394070664	2.06997342577786e-06	0.0339170268323917	hsa-miR-1-3p ZKSCAN1
hsa-miR-133b	ZKSCAN1	-0.295189835437975	3.11510540185189e-06	0.0399432220515061	hsa-miR-133b ZKSCAN1
hsa-miR-34c-5p	LHX2	-0.291022785611436	4.34352659617332e-06	0.0464384352109095	hsa-miR-34c-5p LHX2
hsa-miR-362-5p	PLGRKT	-0.301534717774741	1.85891485848799e-06	0.032429918280835	hsa-miR-362-5p PLGRKT
hsa-miR-30a-3p	PIP5K1B	0.298143309549546	2.45339011373247e-06	0.0361689951380761	hsa-miR-30a-3p PIP5K1B
